x,z,y
96.69,92.40,8.00
96.19,92.40,8.00
95.69,92.40,8.00
95.19,92.40,8.00
94.69,92.40,8.00
94.19,92.40,8.00
93.69,92.40,8.00
93.19,92.40,8.00
92.69,92.40,8.00
92.19,92.40,8.00
91.69,92.40,8.00
91.19,92.40,8.00
90.69,92.40,8.00
90.19,92.40,8.00
89.69,92.40,8.00
89.19,92.40,8.00
88.69,92.40,8.00
88.19,92.40,8.00
87.69,92.40,8.00
87.19,92.40,8.00
86.69,92.40,8.00
86.19,92.40,8.00
85.69,92.40,8.00
85.19,92.40,8.00
84.69,92.40,8.00
84.19,92.40,8.00
83.69,92.40,8.00
83.19,92.40,8.00
82.69,92.40,8.00
82.19,92.40,8.00
81.69,92.40,8.00
81.19,92.40,8.00
80.69,92.40,8.00
80.19,92.40,8.00
79.69,92.40,8.00
79.19,92.40,8.00
78.69,92.40,8.00
78.19,92.40,8.00
77.69,92.40,8.00
77.19,92.40,8.00
76.69,92.40,8.00
76.19,92.40,8.00
75.69,92.40,8.00
75.19,92.40,8.00
74.69,92.40,8.00
74.19,92.40,8.00
73.69,92.40,8.00
73.19,92.40,8.00
72.69,92.40,8.00
72.19,92.40,8.00
71.69,92.40,8.00
71.19,92.40,8.00
70.69,92.40,8.00
70.19,92.40,8.00
69.69,92.40,8.00
69.19,92.40,8.00
68.69,92.40,8.00
68.19,92.40,8.00
67.69,92.40,8.00
67.19,92.40,8.00
66.69,92.40,8.00
66.19,92.40,8.00
65.69,92.40,8.00
65.19,92.40,8.00
64.69,92.40,8.00
64.19,92.40,8.00
63.69,92.40,8.00
63.19,92.40,8.00
62.69,92.40,8.00
62.19,92.40,8.00
61.69,92.40,8.00
61.19,92.40,8.00
60.69,92.40,8.00
60.19,92.40,8.00
59.79,92.65,8.00
59.54,93.05,8.00
59.54,93.55,8.00
59.54,94.05,8.00
59.54,94.55,8.00
59.54,95.05,8.00
59.54,95.55,8.00
59.54,96.05,8.00
59.54,96.55,8.00
59.54,97.05,8.00
59.54,97.55,8.00
59.54,98.05,8.00
59.54,98.55,8.00
59.54,99.05,8.00
59.54,99.55,8.00
59.54,100.05,8.00
59.54,100.55,8.00
59.64,101.00,8.00
60.00,101.36,8.00
60.35,101.71,8.00
60.70,102.06,8.00
61.06,102.42,8.00
61.41,102.77,8.00
61.77,103.13,8.00
62.12,103.48,8.00
62.47,103.83,8.00
62.83,104.19,8.00
63.18,104.54,8.00
63.53,104.89,8.00
63.89,105.25,8.00
64.24,105.60,8.00
64.59,105.95,8.00
64.95,106.31,8.00
65.30,106.66,8.00
65.65,107.01,8.00
66.01,107.37,8.00
66.36,107.72,8.00
66.72,108.08,8.00
67.07,108.43,8.00
67.42,108.78,8.00
67.78,109.14,8.00
68.13,109.49,8.00
68.48,109.84,8.00
68.84,110.20,8.00
69.19,110.55,8.00
69.54,110.90,8.00
69.90,111.26,8.00
70.25,111.61,8.00
70.60,111.96,8.00
70.96,112.32,8.00
71.31,112.67,8.00
71.66,113.02,8.00
72.02,113.38,8.00
72.37,113.73,8.00
72.73,114.09,8.00
73.08,114.44,8.00
73.43,114.79,8.00
73.89,114.90,8.00
74.39,114.90,8.00
74.89,114.90,8.00
75.39,114.90,8.00
75.89,114.90,8.00
76.39,114.90,8.00
76.89,114.90,8.00
77.39,114.90,8.00
77.89,114.90,8.00
78.39,114.90,8.00
78.89,114.90,8.00
79.39,114.90,8.00
79.89,114.90,8.00
80.29,114.65,8.00
80.64,114.30,8.00
80.99,113.95,8.00
81.35,113.59,8.00
81.70,113.24,8.00
82.05,112.89,8.00
82.41,112.53,8.00
82.76,112.18,8.00
83.11,111.83,8.00
83.47,111.47,8.00
83.82,111.12,8.00
84.18,110.76,8.00
84.53,110.41,8.00
84.54,109.92,8.00
84.54,109.42,8.00
84.54,108.92,8.00
84.54,108.42,8.00
84.54,107.92,8.00
84.54,107.42,8.00
84.54,106.92,8.00
84.54,106.42,8.00
84.54,105.92,8.00
84.54,105.42,8.00
84.54,104.92,8.00
84.54,104.42,8.00
84.88,104.06,8.00
85.32,103.90,8.00
85.82,103.90,8.00
86.32,103.90,8.00
86.82,103.90,8.00
87.32,103.90,8.00
87.82,103.90,8.00
88.32,103.90,8.00
88.82,103.90,8.00
89.32,103.90,8.00
89.82,103.90,8.00
90.32,103.90,8.00
90.82,103.90,8.00
91.32,103.90,8.00
91.74,104.10,8.00
92.09,104.45,8.00
92.44,104.80,8.00
92.80,105.16,8.00
93.15,105.51,8.00
93.50,105.86,8.00
93.86,106.22,8.00
94.21,106.57,8.00
94.56,106.92,8.00
94.92,107.28,8.00
95.27,107.63,8.00
95.63,107.99,8.00
95.98,108.34,8.00
96.33,108.69,8.00
96.69,109.05,8.00
97.04,109.40,8.00
97.39,109.75,8.00
97.83,109.90,8.00
98.33,109.90,8.00
98.83,109.90,8.00
99.33,109.90,8.00
99.83,109.90,8.00
100.33,109.90,8.00
100.83,109.90,8.00
101.33,109.90,8.00
101.83,109.90,8.00
102.33,109.90,8.00
102.83,109.90,8.00
103.33,109.90,8.00
103.83,109.90,8.00
104.33,109.90,8.00
104.83,109.90,8.00
105.33,109.90,8.00
105.75,110.11,8.00
106.10,110.46,8.00
106.45,110.81,8.00
106.81,111.17,8.00
107.16,111.52,8.00
107.51,111.87,8.00
107.87,112.23,8.00
108.22,112.58,8.00
108.57,112.93,8.00
108.93,113.29,8.00
109.28,113.64,8.00
109.64,114.00,8.00
109.99,114.35,8.00
110.34,114.70,8.00
110.76,114.90,8.00
111.26,114.90,8.00
111.76,114.90,8.00
112.26,114.90,8.00
112.76,114.90,8.00
113.26,114.90,8.00
113.76,114.90,8.00
114.26,114.90,8.00
114.76,114.90,8.00
115.26,114.90,8.00
115.76,114.90,8.00
116.26,114.90,8.00
116.76,114.90,8.00
117.20,114.74,8.00
117.55,114.39,8.00
117.90,114.04,8.00
118.26,113.68,8.00
118.61,113.33,8.00
118.96,112.98,8.00
119.32,112.62,8.00
119.67,112.27,8.00
120.02,111.92,8.00
120.38,111.56,8.00
120.73,111.21,8.00
121.09,110.85,8.00
121.44,110.50,8.00
121.79,110.15,8.00
122.15,109.79,8.00
122.50,109.44,8.00
122.85,109.09,8.00
